Place Name,FIPS Code,County
50176,Matthews CDP,Jefferson County
50260,Maxeys town,Oglethorpe County
50484,Maysville town,"Banks County, Jackson County"
50596,Meansville city,Pike County
50680,Meigs city,"Mitchell County, Thomas County"
50820,Mendes CDP,Tattnall County
50848,Menlo city,Chattooga County
51072,Metter city,Candler County
51240,Midville city,Burke County
51352,Midway city,Liberty County
51408,Milan city,"Dodge County, Telfair County"
51492,Milledgeville city,Baldwin County
51520,Millen city,Jenkins County
51604,Milner city,Lamar County
51670,Milton city,Fulton County
51744,Mineral Bluff CDP,Fannin County
51968,Mitchell town,Glascock County
52108,Molena city,Pike County
52192,Monroe city,Walton County
52304,Montezuma city,Macon County
52332,Montgomery CDP,Chatham County
52416,Monticello city,Jasper County
52500,Montrose town,Laurens County
52556,Moody AFB CDP,Lowndes County
52668,Moreland town,Coweta County
52696,Morgan city,Calhoun County
52724,Morganton city,Fannin County
53004,Morrow city,Clayton County
53032,Morven city,Brooks County
53060,Moultrie city,Colquitt County
53116,Mountain City town,Rabun County
53172,Mountain Park city,"Cherokee County, Fulton County"
53186,Mountain Park CDP,Gwinnett County
53284,Mount Airy town,Habersham County
53508,Mount Vernon city,Montgomery County
53620,Mount Zion city,Carroll County
54124,Nahunta city,Brantley County
54264,Nashville city,Berrien County
54572,Nelson city,"Cherokee County, Pickens County"
54656,Newborn town,Newton County
54992,Newington town,Screven County
55020,Newnan city,Coweta County
55244,Newton city,Baker County
55440,Nicholls city,Coffee County
55468,Nicholson city,Jackson County
55776,Norcross city,Gwinnett County
55860,Norman Park city,Colquitt County
55944,Norristown CDP,Emanuel County
56000,North Atlanta CDP,DeKalb County
56112,North Decatur CDP,DeKalb County
56168,North Druid Hills CDP,DeKalb County
56308,North High Shoals town,Oconee County
56560,Norwood city,Warren County
56644,Nunez city,Emanuel County
57232,Oak Park town,Emanuel County
57260,Oakwood city,Hall County
57372,Ochlocknee town,Thomas County
57428,Ocilla city,Irwin County
57456,Oconee city,Washington County
57540,Odum city,Wayne County
57568,Offerman city,Pierce County
57736,Oglethorpe city,Macon County
58100,Oliver city,Screven County
58184,Omega city,"Colquitt County, Tift County"
58296,Orchard Hill town,Spalding County
58744,Oxford city,Newton County
58884,Palmetto city,"Coweta County, Fulton County"
59080,Panthersville CDP,DeKalb County
59416,Parrott town,Terrell County
59500,Patterson city,Pierce County
59556,Pavo city,"Brooks County, Thomas County"
59584,Payne city,Bibb County
59724,Peachtree City city,Fayette County
59808,Pearson city,Atkinson County
59976,Pelham city,Mitchell County
60004,Pembroke city,Bryan County
60032,Pendergrass town,Jackson County
60312,Perkins CDP,Jenkins County
60340,Perry city,"Houston County, Peach County"
60508,Phillipsburg CDP,Tift County
60984,Pinehurst city,Dooly County
61040,Pine Lake city,DeKalb County
61124,Pine Mountain town,"Harris County, Meriwether County"
61320,Pineview town,Wilcox County
61544,Pitts city,Wilcox County
61628,Plains city,Sumter County
61684,Plainville city,Gordon County
62104,Pooler city,Chatham County
62216,Portal town,Bulloch County
62244,Porterdale city,Newton County
62328,Port Wentworth city,Chatham County
62496,Poulan city,Worth County
62524,Powder Springs city,Cobb County
63000,Pulaski town,Candler County
63084,Putney CDP,Dougherty County
63224,Quitman city,Brooks County
63560,Ranger town,Gordon County
63588,Raoul CDP,Habersham County
63728,Ray City city,Berrien County
63756,Rayle town,Wilkes County
63840,Rebecca town,Turner County
63952,Redan CDP,DeKalb County
64288,Reed Creek CDP,Hart County
64372,Register town,Bulloch County
64512,Reidsville city,Tattnall County
64596,Remerton city,Lowndes County
64680,Rentz city,Laurens County
64736,Resaca town,Gordon County
64792,Rest Haven town,"Gwinnett County, Hall County"
64876,Reynolds city,Taylor County
64932,Rhine town,Dodge County
64960,Riceboro city,Liberty County
65016,Richland city,Stewart County
65044,Richmond Hill city,Bryan County
65156,Riddleville town,Washington County
