Geographic ID for geographic unit,"# Renter-occupied housing units, 2019","% Gross rent $1,000 or more, 2019","% Gross rent $2,000 or more, 2019","% Gross rent $3,000 or more, 2019"
39826,78,2.8,6.9,0.0
31631,18,0.0,0.0,0.0
31523,921,35.5,0.0,0.0
39827,408,13.6,0.0,0.0
31632,1061,56.5,0.3,0.3
31524,0,,,
31634,563,3.0,0.0,0.0
31635,1062,17.9,0.0,0.0
39828,2315,15.5,1.3,1.3
31636,1447,14.4,1.4,0.0
39834,179,18.2,0.0,0.0
31637,288,0.0,0.0,0.0
39836,41,0.0,0.0,0.0
31638,95,26.2,0.0,0.0
31639,1402,5.6,1.9,0.0
39837,865,8.2,0.0,0.0
39840,885,8.1,0.0,0.0
39841,43,0.0,0.0,0.0
39842,1402,13.2,0.0,0.0
39845,1079,9.7,0.0,0.0
39846,242,1.3,1.3,0.0
39851,291,11.9,0.0,0.0
39854,222,8.9,0.0,0.0
39859,98,0.0,0.0,0.0
39861,220,2.3,0.0,0.0
39862,170,2.7,0.0,0.0
31327,0,,,
31328,401,87.7,8.8,0.0
31329,1211,42.9,4.2,0.0
31331,527,35.8,0.0,0.0
30152,3645,84.8,4.8,0.5
30153,2398,24.7,0.0,0.0
30157,3357,76.0,2.6,0.0
30161,5474,16.8,2.5,0.7
