OBJECTID,Planning Region,ARC Modeling Area,Geographic ID for geographic unit,Logical record number,Summary level of geographic unit,Name of geographic unit,"# Renter-occupied housing units, 2019","# Renter-occupied housing units, 2019 (MOE)","# Gross rent less than $500, 2019","# Gross rent less than $500, 2019 (MOE)","% Gross rent less than $500, 2019","% Gross rent less than $500, 2019 (MOE)","# Gross rent $500 to $999, 2019","# Gross rent $500 to $999, 2019 (MOE)","% Gross rent $500 to $999, 2019","% Gross rent $500 to $999, 2019 (MOE)","# Gross rent $1,000 to $1,499, 2019","# Gross rent $1,000 to $1,499, 2019 (MOE)","% Gross rent $1,000 to $1,499, 2019","% Gross rent $1,000 to $1,499, 2019 (MOE)","# Gross rent $1,500 to $1,999, 2019","# Gross rent $1,500 to $1,999, 2019 (MOE)","% Gross rent $1,500 to $1,999, 2019","% Gross rent $1,500 to $1,999, 2019 (MOE)","# Gross rent $2,000 to $2,499, 2019","# Gross rent $2,000 to $2,499, 2019 (MOE)","% Gross rent $2,000 to $2,499, 2019","% Gross rent $2,000 to $2,499, 2019 (MOE)","# Gross rent $2,500 to $2,999, 2019","# Gross rent $2,500 to $2,999, 2019 (MOE)","% Gross rent $2,500 to $2,999, 2019","% Gross rent $2,500 to $2,999, 2019 (MOE)","# Gross rent $3,000 or more, 2019","# Gross rent $3,000 or more, 2019 (MOE)","% Gross rent $3,000 or more, 2019","% Gross rent $3,000 or more, 2019 (MOE)","# Gross rent less than $200, 2019","# Gross rent less than $200, 2019 (MOE)","% Gross rent less than $200, 2019","% Gross rent less than $200, 2019 (MOE)","# Gross rent $200 to $499, 2019","# Gross rent $200 to $499, 2019 (MOE)","% Gross rent $200 to $499, 2019","% Gross rent $200 to $499, 2019 (MOE)","# Gross rent $500 to $749, 2019","# Gross rent $500 to $749, 2019 (MOE)","% Gross rent $500 to $749, 2019","% Gross rent $500 to $749, 2019 (MOE)","# Gross rent $750 to $999, 2019","# Gross rent $750 to $999, 2019 (MOE)","% Gross rent $750 to $999, 2019","% Gross rent $750 to $999, 2019 (MOE)","# Gross rent $1,000 to $1,499, 2019","# Gross rent $1,000 to $1,499, 2019 (MOE)","% Gross rent $1,000 to $1,499, 2019","% Gross rent $1,000 to $1,499, 2019 (MOE)","# Gross rent $1,500 to $1,999, 2019","# Gross rent $1,500 to $1,999, 2019 (MOE)","% Gross rent $1,500 to $1,999, 2019","% Gross rent $1,500 to $1,999, 2019 (MOE)","# Gross rent $2,000 or more, 2019","# Gross rent $2,000 or more, 2019 (MOE)","% Gross rent $2,000 or more, 2019","% Gross rent $2,000 or more, 2019 (MOE)","# Gross rent less than $750, 2019","# Gross rent less than $750, 2019 (MOE)","% Gross rent less than $750, 2019","% Gross rent less than $750, 2019 (MOE)","# Gross rent $1,000 or more, 2019","# Gross rent $1,000 or more, 2019 (MOE)","% Gross rent $1,000 or more, 2019","% Gross rent $1,000 or more, 2019 (MOE)",Shape__Area,Shape__Length
21,ARC / NW,Partial,30183,3260,ZCTA,ZCTA5 30183,332,164,4,51,1.3,17,52,56,17.5,16.4,124,114,41.8,30.9,114,114,38.4,32.3,0,19,0,6.4,3,6,1,1.9,0,27,0,9,3,27,1,9.2,1,43,0.3,14.4,20,41,6.7,13.4,32,38,10.8,11.4,124,114,41.8,30.9,114,114,38.4,32.3,3,33,1,11.2,24,65,8.1,21.6,238,162,80.1,33.1,1733323927.43091,235245.826364712
22,Southern Georgia,No,31650,3768,ZCTA,ZCTA5 31650,342,111,170,70,75.2,22,53,50,23.5,21.3,0,18,0,8.1,3,6,1.3,2.6,0,13,0,5.8,0,13,0,5.8,0,18,0,8.1,13,19,5.8,8.3,157,67,69.5,21.9,46,48,20.4,20.2,7,17,3.1,7.4,0,18,0,8.1,3,6,1.3,2.6,0,26,0,11.5,216,84,95.6,25.2,3,23,1.3,10.3,2869749261.38867,359000.82876068
23,ARC / NW,Yes,30184,3261,ZCTA,ZCTA5 30184,468,157,42,63,10.2,14.7,197,102,47.7,17.9,145,97,35.1,19.9,29,34,7,7.8,0,19,0,4.6,0,19,0,4.6,0,27,0,6.5,10,31,2.4,7.5,32,54,7.7,12.8,112,88,27.1,19,85,51,20.6,10,145,97,35.1,19.9,29,34,7,7.8,0,38,0,9.2,154,108,37.3,22.6,174,104,42.1,20.4,1958099597.04272,478606.409666477
24,Southern Georgia,No,31698,3769,ZCTA,ZCTA5 31698,0,13,0,39,,,0,37,,,0,18,,,0,13,,,0,13,,,0,13,,,0,18,,,0,23,,,0,32,,,0,29,,,0,23,,,0,18,,,0,13,,,0,26,,,0,49,,,0,26,,,2340094.36663818,6343.12002981161
25,ARC / TR,Yes,30185,3262,ZCTA,ZCTA5 30185,331,97,30,41,10.8,14.3,117,66,42.2,19.2,130,68,46.9,18.8,0,13,0,4.7,0,13,0,4.7,0,13,0,4.7,0,18,0,6.6,0,23,0,8.1,30,34,10.8,11.8,85,62,30.7,19.7,32,24,11.6,7.7,130,68,46.9,18.8,0,13,0,4.7,0,26,0,9.4,115,74,41.5,22.7,130,70,46.9,20,1781538471.94531,274812.877832443
26,Southern Georgia,No,31699,3770,ZCTA,ZCTA5 31699,0,13,0,39,,,0,37,,,0,18,,,0,13,,,0,13,,,0,13,,,0,18,,,0,23,,,0,32,,,0,29,,,0,23,,,0,18,,,0,13,,,0,26,,,0,49,,,0,26,,,14949744.1523438,24346.7254126307
27,Atlanta Regional Commission,Yes,30187,3263,ZCTA,ZCTA5 30187,371,130,0,57,0,16.5,140,79,40.5,17.9,140,91,40.5,22.2,55,66,15.9,18.2,11,19,3.2,5.4,0,19,0,5.5,0,27,0,7.8,0,33,0,9.5,0,47,0,13.5,63,58,18.2,15.6,77,53,22.3,13.3,140,91,40.5,22.2,55,66,15.9,18.2,11,38,3.2,10.9,63,82,18.2,22.7,206,114,59.5,25.5,959957731.864502,279976.542783935
28,Southwest Georgia,No,31701,3771,ZCTA,ZCTA5 31701,4734,285,1121,210,24.9,4.4,2701,323,59.9,6,630,156,14,3.3,48,49,1.1,1.1,7,10,0.2,0.2,0,21,0,0.5,0,30,0,0.7,39,46,0.9,1,1082,205,24,4.3,1786,261,39.6,5.2,915,190,20.3,4,630,156,14,3.3,48,49,1.1,1.1,7,38,0.2,0.8,2907,335,64.5,6.1,685,164,15.2,3.5,801745108.574829,279625.278371361
29,Atlanta Regional Commission,Yes,30188,3264,ZCTA,ZCTA5 30188,5596,668,147,111,2.8,2.1,893,300,17.1,5.3,2152,425,41.3,6.1,1663,503,31.9,8.7,212,132,4.1,2.5,71,71,1.4,1.3,78,69,1.5,1.3,0,54,0,1,147,97,2.8,1.8,241,147,4.6,2.8,652,261,12.5,4.7,2152,425,41.3,6.1,1663,503,31.9,8.7,361,165,6.9,3,388,184,7.4,3.4,4027,671,77.2,8,1240355741.9519,248878.084469166
30,Southwest Georgia,No,31705,3772,ZCTA,ZCTA5 31705,5967,482,768,214,13.8,3.7,4123,540,74.3,7.6,644,176,11.6,3,6,10,0.1,0.2,10,14,0.2,0.3,0,28,0,0.5,0,40,0,0.7,19,45,0.3,0.8,749,209,13.5,3.6,2576,433,46.4,6.8,1547,322,27.9,5.3,644,176,11.6,3,6,10,0.1,0.2,10,50,0.2,0.9,3344,483,60.2,7.2,660,177,11.9,3,4330229182.26282,411480.647479296
