OBJECTID,Planning Region,ARC Modeling Area,Geographic ID for geographic unit,Logical record number,Summary level of geographic unit,Name of geographic unit,"# Renter-occupied housing units, 2019","# Renter-occupied housing units, 2019 (MOE)","# Gross rent less than $500, 2019","# Gross rent less than $500, 2019 (MOE)","% Gross rent less than $500, 2019","% Gross rent less than $500, 2019 (MOE)","# Gross rent $500 to $999, 2019","# Gross rent $500 to $999, 2019 (MOE)","% Gross rent $500 to $999, 2019","% Gross rent $500 to $999, 2019 (MOE)","# Gross rent $1,000 to $1,499, 2019","# Gross rent $1,000 to $1,499, 2019 (MOE)","% Gross rent $1,000 to $1,499, 2019","% Gross rent $1,000 to $1,499, 2019 (MOE)","# Gross rent $1,500 to $1,999, 2019","# Gross rent $1,500 to $1,999, 2019 (MOE)","% Gross rent $1,500 to $1,999, 2019","% Gross rent $1,500 to $1,999, 2019 (MOE)","# Gross rent $2,000 to $2,499, 2019","# Gross rent $2,000 to $2,499, 2019 (MOE)","% Gross rent $2,000 to $2,499, 2019","% Gross rent $2,000 to $2,499, 2019 (MOE)","# Gross rent $2,500 to $2,999, 2019","# Gross rent $2,500 to $2,999, 2019 (MOE)","% Gross rent $2,500 to $2,999, 2019","% Gross rent $2,500 to $2,999, 2019 (MOE)","# Gross rent $3,000 or more, 2019","# Gross rent $3,000 or more, 2019 (MOE)","% Gross rent $3,000 or more, 2019","% Gross rent $3,000 or more, 2019 (MOE)","# Gross rent less than $200, 2019","# Gross rent less than $200, 2019 (MOE)","% Gross rent less than $200, 2019","% Gross rent less than $200, 2019 (MOE)","# Gross rent $200 to $499, 2019","# Gross rent $200 to $499, 2019 (MOE)","% Gross rent $200 to $499, 2019","% Gross rent $200 to $499, 2019 (MOE)","# Gross rent $500 to $749, 2019","# Gross rent $500 to $749, 2019 (MOE)","% Gross rent $500 to $749, 2019","% Gross rent $500 to $749, 2019 (MOE)","# Gross rent $750 to $999, 2019","# Gross rent $750 to $999, 2019 (MOE)","% Gross rent $750 to $999, 2019","% Gross rent $750 to $999, 2019 (MOE)","# Gross rent $1,000 to $1,499, 2019","# Gross rent $1,000 to $1,499, 2019 (MOE)","% Gross rent $1,000 to $1,499, 2019","% Gross rent $1,000 to $1,499, 2019 (MOE)","# Gross rent $1,500 to $1,999, 2019","# Gross rent $1,500 to $1,999, 2019 (MOE)","% Gross rent $1,500 to $1,999, 2019","% Gross rent $1,500 to $1,999, 2019 (MOE)","# Gross rent $2,000 or more, 2019","# Gross rent $2,000 or more, 2019 (MOE)","% Gross rent $2,000 or more, 2019","% Gross rent $2,000 or more, 2019 (MOE)","# Gross rent less than $750, 2019","# Gross rent less than $750, 2019 (MOE)","% Gross rent less than $750, 2019","% Gross rent less than $750, 2019 (MOE)","# Gross rent $1,000 or more, 2019","# Gross rent $1,000 or more, 2019 (MOE)","% Gross rent $1,000 or more, 2019","% Gross rent $1,000 or more, 2019 (MOE)",Shape__Area,Shape__Length
387,Heart of Georgia Altamaha,No,30453,3388,ZCTA,ZCTA5 30453,1055,192,375,156,45,16.3,402,148,48.3,14.6,56,36,6.7,4.1,0,21,0,2.5,0,21,0,2.5,0,21,0,2.5,0,30,0,3.6,95,86,11.4,10.1,280,130,33.6,14,199,94,23.9,10.2,203,114,24.4,12.7,56,36,6.7,4.1,0,21,0,2.5,0,42,0,5,574,182,68.9,16.6,56,47,6.7,5.4,3512649649.05859,477061.622014568
388,Heart of Georgia Altamaha,No,30454,3389,ZCTA,ZCTA5 30454,11,19,11,41,100,334.3,0,37,0,334.3,0,18,0,167.1,0,13,0,118.2,0,13,0,118.2,0,13,0,118.2,0,18,0,167.1,0,23,0,204.7,11,35,100,264.3,0,29,0,264.3,0,23,0,204.7,0,18,0,167.1,0,13,0,118.2,0,26,0,236.4,11,51,100,426.1,0,26,0,236.4,1015711753.37695,230579.625634391
389,Coastal Regional Commission,No,30455,3390,ZCTA,ZCTA5 30455,44,25,9,33,34.6,126.4,12,31,46.2,115.4,5,16,19.2,59.7,0,13,0,50,0,13,0,50,0,13,0,50,0,18,0,70.7,0,23,0,86.6,9,25,34.6,92,7,23,26.9,88.8,5,20,19.2,76.2,5,16,19.2,59.7,0,13,0,50,0,26,0,100,16,41,61.5,152.2,5,24,19.2,92.5,1241356318.98486,246258.408883056
390,Central Savannah River Area,No,30456,3391,ZCTA,ZCTA5 30456,184,78,82,64,46.9,30.3,93,59,53.1,24.9,0,18,0,10.5,0,13,0,7.4,0,13,0,7.4,0,13,0,7.4,0,18,0,10.5,28,40,16,21.5,54,50,30.9,25.2,69,47,39.4,20.8,24,36,13.7,19.7,0,18,0,10.5,0,13,0,7.4,0,26,0,14.9,151,79,86.3,25.8,0,26,0,14.9,2266754418.46289,386878.262491625
391,Heart of Georgia Altamaha,No,30457,3392,ZCTA,ZCTA5 30457,757,163,155,77,25.6,10.9,443,151,73.2,16.5,7,23,1.2,3.8,0,19,0,3.1,0,19,0,3.1,0,19,0,3.1,0,27,0,4.4,0,33,0,5.4,155,69,25.6,9.4,307,132,50.7,17.4,136,74,22.5,10.8,7,23,1.2,3.8,0,19,0,3.1,0,38,0,6.3,462,152,76.4,15.9,7,35,1.2,5.8,5006954042.198,661945.347894219
392,Coastal Regional Commission,No,30458,3393,ZCTA,ZCTA5 30458,9385,709,1099,272,12.4,2.9,5325,613,59.9,5,1857,352,20.9,3.6,484,161,5.4,1.8,90,81,1,0.9,10,17,0.1,0.2,26,43,0.3,0.5,9,42,0.1,0.5,1090,268,12.3,2.9,2903,454,32.7,4.4,2422,412,27.2,4.1,1857,352,20.9,3.6,484,161,5.4,1.8,126,93,1.4,1,4002,529,45,4.8,2431,395,27.3,3.9,4210433328.82471,475004.307842973
393,Coastal Regional Commission,No,30460,3394,ZCTA,ZCTA5 30460,0,13,0,39,,,0,37,,,0,18,,,0,13,,,0,13,,,0,13,,,0,18,,,0,23,,,0,32,,,0,29,,,0,23,,,0,18,,,0,13,,,0,26,,,0,49,,,0,26,,,514225.692871094,2863.39119217201
394,Coastal Regional Commission,No,30461,3395,ZCTA,ZCTA5 30461,1858,321,146,106,8.6,6,1130,313,66.7,13.6,322,143,19,7.6,64,67,3.8,3.9,33,40,1.9,2.3,0,21,0,1.2,0,30,0,1.8,0,36,0,2.1,146,99,8.6,5.6,454,177,26.8,9.2,676,258,39.9,13.2,322,143,19,7.6,64,67,3.8,3.9,33,54,1.9,3.2,600,206,35.4,10.2,419,163,24.7,8.4,4618717730.82422,510188.919985616
395,Heart of Georgia Altamaha,No,30464,3396,ZCTA,ZCTA5 30464,16,15,0,39,0,243.8,9,34,56.3,203.4,0,18,0,114.9,7,10,43.8,47.2,0,13,0,81.3,0,13,0,81.3,0,18,0,114.9,0,23,0,140.7,0,32,0,199,9,25,56.3,146.8,0,23,0,140.7,0,18,0,114.9,7,10,43.8,47.2,0,26,0,162.5,9,46,56.3,284.6,7,25,43.8,148.4,23397808.5061035,20359.3818991332
396,Coastal Regional Commission,No,30467,3397,ZCTA,ZCTA5 30467,1193,183,303,119,32.4,11.4,557,153,59.5,12.5,76,48,8.1,4.9,0,21,0,2.2,0,21,0,2.2,0,21,0,2.2,0,30,0,3.2,31,40,3.3,4.2,272,112,29.1,10.9,339,127,36.2,12,218,84,23.3,8,76,48,8.1,4.9,0,21,0,2.2,0,42,0,4.5,642,175,68.6,14.2,76,56,8.1,5.8,14649910916.0269,848764.719479944
397,Heart of Georgia Altamaha,No,30470,3398,ZCTA,ZCTA5 30470,42,35,33,47,91.7,98.7,3,35,8.3,96.2,0,18,0,51.1,0,13,0,36.1,0,13,0,36.1,0,13,0,36.1,0,18,0,51.1,0,23,0,62.5,33,42,91.7,76.4,3,26,8.3,73.1,0,23,0,62.5,0,18,0,51.1,0,13,0,36.1,0,26,0,72.2,36,54,100,117.2,0,26,0,72.2,819574036.629395,304683.432273237
398,CRC / HOGA,No,30471,3399,ZCTA,ZCTA5 30471,503,139,142,64,39.4,14.1,210,82,58.3,16.1,8,16,2.2,4.3,0,13,0,3.6,0,13,0,3.6,0,13,0,3.6,0,18,0,5.1,7,21,1.9,5.9,135,60,37.5,13.2,189,74,52.5,14.8,21,34,5.8,9.2,8,16,2.2,4.3,0,13,0,3.6,0,26,0,7.2,331,98,91.9,10.2,8,24,2.2,6.7,4134395430.43262,668823.821505021
399,Heart of Georgia Altamaha,No,30473,3400,ZCTA,ZCTA5 30473,193,83,25,35,22.7,29.2,53,32,48.2,9,32,50,29.1,41.9,0,13,0,11.8,0,13,0,11.8,0,13,0,11.8,0,18,0,16.7,10,17,9.1,15,15,31,13.6,26.7,45,28,40.9,10,8,16,7.3,13.5,32,50,29.1,41.9,0,13,0,11.8,0,26,0,23.6,70,45,63.6,17.9,32,53,29.1,45.1,2401578346.24426,359224.884364736
400,Heart of Georgia Altamaha,No,30474,3401,ZCTA,ZCTA5 30474,2600,350,797,251,32.2,9.1,1296,277,52.3,8.6,379,175,15.3,6.7,0,21,0,0.8,0,21,0,0.8,4,9,0.2,0.4,0,30,0,1.2,121,87,4.9,3.5,676,235,27.3,8.8,961,245,38.8,8.4,335,129,13.5,4.9,379,175,15.3,6.7,0,21,0,0.8,4,37,0.2,1.5,1758,351,71,10.4,379,177,15.3,6.9,3937663419.44897,583734.111932802
401,Heart of Georgia Altamaha,No,30475,3402,ZCTA,ZCTA5 30475,0,13,0,39,,,0,37,,,0,18,,,0,13,,,0,13,,,0,13,,,0,18,,,0,23,,,0,32,,,0,29,,,0,23,,,0,18,,,0,13,,,0,26,,,0,49,,,0,26,,,2596049.44506836,10316.8879496975
402,Georgia Mountains,No,30573,3458,ZCTA,ZCTA5 30573,9,13,1,37,11.1,408.8,8,37,88.9,387.9,0,18,0,204.3,0,13,0,144.4,0,13,0,144.4,0,13,0,144.4,0,18,0,204.3,0,23,0,250.2,1,29,11.1,323.4,8,29,88.9,296.4,0,23,0,250.2,0,18,0,204.3,0,13,0,144.4,0,26,0,288.9,9,47,100,500.9,0,26,0,288.9,136108857.854248,111493.771646252
403,Central Savannah River Area,No,30477,3403,ZCTA,ZCTA5 30477,390,93,155,64,46.4,15.3,151,66,45.2,16,28,31,8.4,9,0,13,0,3.9,0,13,0,3.9,0,13,0,3.9,0,18,0,5.5,20,23,6,6.6,135,60,40.4,14.9,115,60,34.4,15.8,36,26,10.8,7.3,28,31,8.4,9,0,13,0,3.9,0,26,0,7.8,270,88,80.8,16.8,28,36,8.4,10.5,1989820762.82837,308822.877008416
404,GM / NE,Partial,30575,3459,ZCTA,ZCTA5 30575,112,65,0,39,0,34.8,83,60,74.1,31.2,27,31,24.1,24.2,2,3,1.8,2.5,0,13,0,11.6,0,13,0,11.6,0,18,0,16.4,0,23,0,20.1,0,32,0,28.4,42,44,37.5,32.8,41,40,36.6,28.7,27,31,24.1,24.2,2,3,1.8,2.5,0,26,0,23.2,42,59,37.5,47.9,29,34,25.9,26.4,322588478.344482,129529.135635914
405,Georgia Mountains,Yes,30501,3404,ZCTA,ZCTA5 30501,5885,461,597,190,10.3,3.2,3456,475,59.6,6.6,1448,305,25,4.9,209,114,3.6,1.9,69,59,1.2,1,20,31,0.3,0.5,0,40,0,0.7,30,50,0.5,0.9,567,184,9.8,3.1,1243,310,21.4,5.1,2213,359,38.2,5.4,1448,305,25,4.9,209,114,3.6,1.9,89,78,1.5,1.3,1840,364,31.7,5.7,1726,330,29.8,5.2,683366960.791504,182558.066341063
406,Georgia Mountains,No,30576,3460,ZCTA,ZCTA5 30576,107,47,13,40,15.9,48.4,46,43,56.1,46,13,25,15.9,29.3,2,4,2.4,4.8,0,13,0,15.9,3,5,3.7,5.9,5,15,6.1,17.8,0,23,0,27.5,13,33,15.9,39.8,31,34,37.8,37.8,15,26,18.3,31.2,13,25,15.9,29.3,2,4,2.4,4.8,8,20,9.8,24.4,44,53,53.7,59.4,15,28,18.3,33.4,1081153121.9519,270390.406854369
407,Georgia Mountains,Yes,30504,3405,ZCTA,ZCTA5 30504,3858,356,223,139,6,3.7,1719,299,46.2,6.9,1625,291,43.7,6.8,136,67,3.7,1.8,18,24,0.5,0.6,0,25,0,0.7,0,35,0,1,0,43,0,1.2,223,132,6,3.5,471,154,12.7,4,1248,257,33.5,6.2,1625,291,43.7,6.8,136,67,3.7,1.8,18,50,0.5,1.3,694,207,18.7,5.3,1779,300,47.8,6.8,601482467.996094,218589.032541098
408,Georgia Mountains,No,30577,3461,ZCTA,ZCTA5 30577,2475,384,426,152,18.1,5.7,1548,312,65.7,7.5,366,198,15.5,8,17,30,0.7,1.3,0,25,0,1.1,0,25,0,1.1,0,35,0,1.5,28,48,1.2,2,398,144,16.9,5.4,811,212,34.4,6.9,737,229,31.3,8.2,366,198,15.5,8,17,30,0.7,1.3,0,50,0,2.1,1237,261,52.5,6.8,383,202,16.2,8.1,4614728786.59155,627230.705306786
409,Georgia Mountains,Yes,30506,3406,ZCTA,ZCTA5 30506,3106,338,52,96,1.8,3.3,1228,271,42.6,8.1,935,216,32.5,6.5,281,94,9.8,3.1,153,112,5.3,3.8,10,16,0.3,0.6,221,66,7.7,2.1,0,48,0,1.7,52,83,1.8,2.9,599,192,20.8,6.2,629,192,21.8,6.2,935,216,32.5,6.5,281,94,9.8,3.1,384,131,13.3,4.3,651,214,22.6,7,1369,261,47.5,7.3,3464305399.90186,498088.401078755
410,Georgia Mountains,No,30581,3462,ZCTA,ZCTA5 30581,9,15,9,40,100,408.6,0,37,0,408.6,0,18,0,204.3,0,13,0,144.4,0,13,0,144.4,0,13,0,144.4,0,18,0,204.3,0,23,0,250.2,9,33,100,323,0,29,0,323,0,23,0,250.2,0,18,0,204.3,0,13,0,144.4,0,26,0,288.9,9,49,100,520.8,0,26,0,288.9,5592191.50219727,14468.123267774
411,Georgia Mountains,Yes,30507,3407,ZCTA,ZCTA5 30507,2207,308,42,83,2,4,1143,253,55.4,8.8,715,206,34.7,8.5,35,33,1.7,1.6,5,9,0.2,0.4,0,28,0,1.4,122,91,5.9,4.3,0,48,0,2.4,42,67,2,3.2,399,151,19.4,6.7,744,202,36.1,8.1,715,206,34.7,8.5,35,33,1.7,1.6,127,96,6.2,4.6,441,172,21.4,7.7,755,209,36.6,8.4,1988594818.47168,280709.444989745
412,Georgia Mountains,No,30582,3463,ZCTA,ZCTA5 30582,425,122,41,43,13.9,13.8,245,106,83.1,22.9,2,14,0.7,4.6,0,13,0,4.4,7,11,2.4,3.6,0,13,0,4.4,0,18,0,6.2,0,23,0,7.6,41,37,13.9,11.5,120,64,40.7,16.9,125,85,42.4,25.1,2,14,0.7,4.6,0,13,0,4.4,7,25,2.4,8.5,161,77,54.6,18.7,9,22,3.1,7.3,1395434146.11035,205487.541471208
413,Georgia Mountains,Partial,30510,3408,ZCTA,ZCTA5 30510,505,156,60,84,14.1,19.1,319,119,74.9,13.6,47,34,11,7.1,0,19,0,4.5,0,19,0,4.5,0,19,0,4.5,0,27,0,6.3,0,33,0,7.7,60,77,14.1,17.5,183,92,43,16.4,136,76,31.9,14.4,47,34,11,7.1,0,19,0,4.5,0,38,0,8.9,243,124,57,22.5,47,43,11,9.5,1253793168.52466,263856.140212677
414,Northeast Georgia,No,30601,3464,ZCTA,ZCTA5 30601,6303,448,758,233,12.5,3.7,3369,492,55.6,7,1290,278,21.3,4.3,434,153,7.2,2.5,206,96,3.4,1.6,4,5,0.1,0.1,0,35,0,0.6,217,137,3.6,2.3,541,188,8.9,3,1546,337,25.5,5.2,1823,358,30.1,5.5,1290,278,21.3,4.3,434,153,7.2,2.5,210,102,3.5,1.7,2304,410,38,6.1,1930,331,31.8,4.9,666599891.542969,194360.420745791
415,Georgia Mountains,No,30511,3409,ZCTA,ZCTA5 30511,286,102,63,64,24,22.8,146,73,55.7,18.2,36,30,13.7,10.2,17,27,6.5,10,0,13,0,5,0,13,0,5,0,18,0,7,0,23,0,8.6,63,60,24,21.1,83,50,31.7,15.1,63,52,24,17.8,36,30,13.7,10.2,17,27,6.5,10,0,26,0,9.9,146,82,55.7,23.1,53,42,20.2,14.3,836998444.085693,193985.854902704
416,Northeast Georgia,No,30602,3465,ZCTA,ZCTA5 30602,0,13,0,39,,,0,37,,,0,18,,,0,13,,,0,13,,,0,13,,,0,18,,,0,23,,,0,32,,,0,29,,,0,23,,,0,18,,,0,13,,,0,26,,,0,49,,,0,26,,,20231196.0876465,46904.9380190554
417,GM / NW,No,30512,3410,ZCTA,ZCTA5 30512,2107,279,367,170,22.1,9.6,757,199,45.7,9.4,433,127,26.1,6.4,74,64,4.5,3.8,8,14,0.5,0.8,19,31,1.1,1.9,0,35,0,2.1,5,36,0.3,2.2,362,166,21.8,9.4,422,142,25.5,7.5,335,139,20.2,7.7,433,127,26.1,6.4,74,64,4.5,3.8,27,49,1.6,2.9,789,222,47.6,10.9,515,143,31.1,7,6382255973.48584,474669.973462807
418,Northeast Georgia,No,30605,3466,ZCTA,ZCTA5 30605,11301,462,835,220,7.5,2,7158,661,64.4,5.3,2443,340,22,2.9,569,145,5.1,1.3,98,67,0.9,0.6,0,28,0,0.3,18,40,0.2,0.4,179,115,1.6,1,656,188,5.9,1.7,3273,447,29.4,3.8,3885,487,34.9,4.1,2443,340,22,2.9,569,145,5.1,1.3,116,83,1,0.7,4108,498,36.9,4.2,3110,376,28,3.2,1040165518.21924,237368.475135086
419,Northwest Georgia,No,30513,3411,ZCTA,ZCTA5 30513,1262,243,249,116,22.7,9.4,611,182,55.6,11.6,187,121,17,10.4,37,39,3.4,3.5,11,17,1,1.5,3,5,0.3,0.5,0,30,0,2.7,26,36,2.4,3.2,223,110,20.3,9.1,361,145,32.9,11.2,250,109,22.8,8.7,187,121,17,10.4,37,39,3.4,3.5,14,35,1.3,3.1,610,186,55.6,12.2,235,128,21.4,10.7,4208297230.14844,879269.65082803
420,Northeast Georgia,No,30606,3467,ZCTA,ZCTA5 30606,10070,532,604,214,6.1,2.1,5527,593,56,5.2,2643,381,26.8,3.6,861,281,8.7,2.8,144,82,1.5,0.8,66,45,0.7,0.5,21,36,0.2,0.4,144,108,1.5,1.1,460,185,4.7,1.9,2454,361,24.9,3.4,3073,470,31.1,4.5,2643,381,26.8,3.6,861,281,8.7,2.8,231,100,2.3,1,3058,420,31,3.9,3648,481,37,4.5,861017224.805664,239646.043830332
421,Georgia Mountains,No,30516,3412,ZCTA,ZCTA5 30516,230,107,17,40,8.2,18.9,172,110,83.1,30.6,0,18,0,8.9,18,27,8.7,12.2,0,13,0,6.3,0,13,0,6.3,0,18,0,8.9,0,23,0,10.9,17,33,8.2,15.4,114,96,55.1,36.7,58,52,28,20.7,0,18,0,8.9,18,27,8.7,12.2,0,26,0,12.6,131,104,63.3,38.2,18,35,8.7,16.4,587644862.952637,139814.343529953
422,Northeast Georgia,No,30607,3468,ZCTA,ZCTA5 30607,1378,264,80,97,6.2,7.3,922,254,71,13.3,235,133,18.1,9.6,62,63,4.8,4.8,0,21,0,1.6,0,21,0,1.6,0,30,0,2.3,0,36,0,2.8,80,90,6.2,6.8,334,158,25.7,11,588,199,45.3,12.3,235,133,18.1,9.6,62,63,4.8,4.8,0,42,0,3.2,414,185,31.9,12.7,297,149,22.9,10.5,1003864056.86157,240537.207393668
423,ARC / GM / NE,Partial,30517,3413,ZCTA,ZCTA5 30517,596,165,69,94,12.1,16.1,148,89,26,13.8,211,106,37,15.4,74,61,13,10.1,62,66,10.9,11.2,0,21,0,3.7,6,25,1.1,4.4,0,36,0,6.4,69,87,12.1,14.8,59,56,10.4,9.4,89,69,15.6,11.3,211,106,37,15.4,74,61,13,10.1,68,74,11.9,12.5,128,109,22.5,18.1,347,139,60.9,17.3,786619954.034668,188310.02929306
424,Northeast Georgia,No,30609,3469,ZCTA,ZCTA5 30609,0,13,0,39,,,0,37,,,0,18,,,0,13,,,0,13,,,0,13,,,0,18,,,0,23,,,0,32,,,0,29,,,0,23,,,0,18,,,0,13,,,0,26,,,0,49,,,0,26,,,651504.468261719,3278.20346606159
425,Northeast Georgia,No,30619,3470,ZCTA,ZCTA5 30619,100,48,16,35,16.7,36.1,56,45,58.3,38.2,24,27,25,25.8,0,13,0,13.5,0,13,0,13.5,0,13,0,13.5,0,18,0,19.2,0,23,0,23.5,16,27,16.7,27.4,5,23,5.2,24.1,51,39,53.1,31.7,24,27,25,25.8,0,13,0,13.5,0,26,0,27.1,21,42,21.9,42.9,24,33,25,32.1,752543815.062744,223422.109884523
426,ARC / NE,Yes,30620,3471,ZCTA,ZCTA5 30620,672,179,36,68,5.5,10.2,105,58,16,7.7,479,185,73,20.1,36,31,5.5,4.5,0,21,0,3.2,0,21,0,3.2,0,30,0,4.5,0,36,0,5.5,36,57,5.5,8.6,22,37,3.4,5.6,83,45,12.7,5.9,479,185,73,20.1,36,31,5.5,4.5,0,42,0,6.4,58,77,8.8,11.5,515,189,78.5,19.4,687574430.929688,219565.083817451
427,Northeast Georgia,No,30621,3472,ZCTA,ZCTA5 30621,186,105,5,54,4.4,47.6,82,71,71.9,43.6,25,25,21.9,17.2,1,4,0.9,3.5,1,3,0.9,2.6,0,19,0,16.7,0,27,0,23.6,5,28,4.4,24.4,0,47,0,40.8,8,34,7,29.9,74,62,64.9,36.9,25,25,21.9,17.2,1,4,0.9,3.5,1,33,0.9,29,13,64,11.4,56,27,26,23.7,16.9,1378400409.62817,304976.963261193
428,Northeast Georgia,Partial,30622,3473,ZCTA,ZCTA5 30622,1485,282,0,63,0,4.7,407,146,30.6,8.8,613,212,46.2,12.5,97,81,7.3,5.9,72,100,5.4,7.4,113,77,8.5,5.5,26,51,2,3.8,0,36,0,2.7,0,51,0,3.9,213,107,16,7.3,194,99,14.6,6.8,613,212,46.2,12.5,97,81,7.3,5.9,211,136,15.9,9.7,213,124,16,8.7,782,248,58.9,13.7,1162604001.13232,363056.887328567
429,Northeast Georgia,No,30623,3474,ZCTA,ZCTA5 30623,11,14,0,39,0,354.5,11,35,100,286.9,0,18,0,167.1,0,13,0,118.2,0,13,0,118.2,0,13,0,118.2,0,18,0,167.1,0,23,0,204.7,0,32,0,289.5,11,26,100,201,0,23,0,204.7,0,18,0,167.1,0,13,0,118.2,0,26,0,236.4,11,47,100,407.6,0,26,0,236.4,60369627.5266113,44604.5796677186
430,GM / NE,No,30624,3475,ZCTA,ZCTA5 30624,280,99,28,27,11.6,10.1,198,87,82.2,15.6,7,16,2.9,6.5,0,13,0,5.4,8,13,3.3,5.2,0,13,0,5.4,0,18,0,7.6,10,19,4.1,7.6,18,19,7.5,7.4,158,73,65.6,15.4,40,48,16.6,18.8,7,16,2.9,6.5,0,13,0,5.4,8,26,3.3,10.7,186,78,77.2,9.8,15,24,6.2,9.8,1212038067.58008,270191.790019059
431,Coastal Regional Commission,No,31312,3668,ZCTA,ZCTA5 31312,933,192,0,75,0,9,405,173,48.7,17.4,286,146,34.4,15.6,140,85,16.8,9.4,0,25,0,3,0,25,0,3,0,35,0,4.3,0,43,0,5.2,0,61,0,7.4,162,126,19.5,14.5,243,118,29.2,12.5,286,146,34.4,15.6,140,85,16.8,9.4,0,50,0,6,162,147,19.5,17.1,426,171,51.3,16.7,4479258063.0437,539787.096520054
432,MG / NE,No,30625,3476,ZCTA,ZCTA5 30625,200,106,0,39,0,20.7,159,104,84.6,30,7,17,3.7,8.8,0,13,0,6.9,22,36,11.7,18,0,13,0,6.9,0,18,0,9.8,0,23,0,12,0,32,0,16.9,56,72,29.8,34.6,103,76,54.8,26.5,7,17,3.7,8.8,0,13,0,6.9,22,42,11.7,21.6,56,82,29.8,40.3,29,42,15.4,20.6,1357452702.54346,225496.436362985
433,Northeast Georgia,No,30627,3477,ZCTA,ZCTA5 30627,197,77,33,61,34,59.7,64,44,66,21.1,0,18,0,19,0,13,0,13.4,0,13,0,13.4,0,13,0,13.4,0,18,0,19,0,23,0,23.2,33,57,34,55,25,26,25.8,21.9,39,35,40.2,27,0,18,0,19,0,13,0,13.4,0,26,0,26.8,58,67,59.8,58.2,0,26,0,26.8,3503599059.33203,502708.532384674
434,Northeast Georgia,No,30628,3478,ZCTA,ZCTA5 30628,297,111,6,47,2.5,19.6,184,91,77,25,49,37,20.5,13.7,0,19,0,7.9,0,19,0,7.9,0,19,0,7.9,0,27,0,11.2,0,33,0,13.8,6,33,2.5,14,120,70,50.2,22.6,64,58,26.8,22.2,49,37,20.5,13.7,0,19,0,7.9,0,38,0,15.9,126,85,52.7,29.3,49,46,20.5,17.7,1355717026.54224,277691.491758015
435,Northeast Georgia,No,30629,3479,ZCTA,ZCTA5 30629,528,138,93,63,24.1,14.6,224,96,58,17.5,69,61,17.9,14.9,0,13,0,3.4,0,13,0,3.4,0,13,0,3.4,0,18,0,4.8,7,22,1.8,5.7,86,59,22.3,13.8,127,76,32.9,17,97,58,25.1,13,69,61,17.9,14.9,0,13,0,3.4,0,26,0,6.7,220,99,57,18.9,69,64,17.9,15.6,2112795047.74854,326906.10170158
436,Coastal Regional Commission,No,31313,3669,ZCTA,ZCTA5 31313,8573,531,476,181,5.7,2.1,3468,521,41.7,5.7,3730,475,44.9,5,556,171,6.7,2,55,62,0.7,0.7,25,27,0.3,0.3,0,40,0,0.5,30,47,0.4,0.6,446,175,5.4,2.1,1129,296,13.6,3.5,2339,428,28.1,4.8,3730,475,44.9,5,556,171,6.7,2,80,78,1,0.9,1605,347,19.3,4,4341,508,52.2,5.1,1879768510.70837,305891.826035816
437,Northeast Georgia,No,30630,3480,ZCTA,ZCTA5 30630,326,94,161,70,49.4,15.9,160,91,49.1,24.1,5,14,1.5,4.2,0,13,0,4,0,13,0,4,0,13,0,4,0,18,0,5.6,0,23,0,6.9,161,66,49.4,14.4,87,59,26.7,16.5,73,69,22.4,20.2,5,14,1.5,4.2,0,13,0,4,0,26,0,8,248,92,76.1,17.6,5,23,1.5,7.1,1023175355.94458,207847.16820745
438,Central Savannah River Area,No,30631,3481,ZCTA,ZCTA5 30631,185,45,37,29,23.9,17.8,97,40,62.6,19.2,16,19,10.3,12.1,2,3,1.3,1.9,0,13,0,8.4,0,13,0,8.4,3,14,1.9,8.8,2,19,1.3,12,35,23,22.6,13.3,65,31,41.9,16,32,26,20.6,15.7,16,19,10.3,12.1,2,3,1.3,1.9,3,23,1.9,14.7,102,42,65.8,20.4,18,23,11.6,14.8,5420622108.04517,508578.924095222
439,GM / NE,No,30633,3482,ZCTA,ZCTA5 30633,730,165,100,73,17.5,11.9,408,132,71.2,14.8,46,43,8,7.3,14,14,2.4,2.4,5,9,0.9,1.6,0,19,0,3.3,0,27,0,4.7,0,33,0,5.7,100,65,17.5,10.4,257,112,44.9,16.1,151,70,26.4,10.3,46,43,8,7.3,14,14,2.4,2.4,5,34,0.9,6,357,134,62.3,17.4,65,46,11.3,7.6,2809748789.82495,369223.407879041
440,GM / NE,No,30634,3483,ZCTA,ZCTA5 30634,105,53,38,54,38.8,51.1,50,55,51,48.9,10,21,10.2,21.1,0,13,0,13.3,0,13,0,13.3,0,13,0,13.3,0,18,0,18.8,0,23,0,23,38,49,38.8,45.6,8,29,8.2,29.3,42,47,42.9,41.7,10,21,10.2,21.1,0,13,0,13.3,0,26,0,26.5,46,61,46.9,57.3,10,28,10.2,28.3,1351710544.3291,349844.806638183
441,GM / NE,No,30635,3484,ZCTA,ZCTA5 30635,1721,273,431,161,27.5,9.2,957,237,61,11.2,145,91,9.2,5.6,36,34,2.3,2.1,0,21,0,1.3,0,21,0,1.3,0,30,0,1.9,73,79,4.7,5,358,140,22.8,8.1,447,159,28.5,8.9,510,175,32.5,9.8,145,91,9.2,5.6,36,34,2.3,2.1,0,42,0,2.7,878,226,56,11,181,100,11.5,6.1,8545294740.64014,604771.664061129
